Date,Citywide,Administration for Child Services,Department of Social Services,Board of Correction,Board of Elections,Business Integrity Commission,Civilian Complaint Review Board,Department for the Aging,Department of Buildings,Department of Citywide Administrative Services,Department of Consumer Affairs,Department of Correction,Department of Design and Construction,Department of Education,Department of Emergency Management,Department of Environmental Protection,Department of Finance,Department of Health and Mental Hygiene,Department of Homeless Services,Department of Information Technology and Telecommunications,Department of Parks and Recreation,Department of Probation,Department of Sanitation,Department of Small Business Services,Department of Transportation,Department of Veterans’ Services,Department of Youth and Community Development,District Attorney—Kings County,District Attorney—New York,District Attorney—Queens County,District Attorney—Richmond County,Equal Employment Practices Commission,Financial Information Services Agency,Fire Department,Housing Preservation and Development,Mayoralty,Miscellaneous,NYC Taxi and Limousine Commission,Office of Administrative Tax Appeals,Office of Administrative Trials and Hearings,Office of Special Narcotics,Office of the Actuary,Office of the Comptroller,Police Department,District Attorney Bronx County,Independent Budget Office,Law Department
2020 Apr 04 12:00:00 AM,"$1,522,733 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$133 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,522,600 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Apr 06 12:00:00 AM,"$12,054,681 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,371,000 ",$0 ,$0 ,$0 ,"$17,720 ","$1,365,894 ","$11,800 ","$3,157 ","$20,342 ",$0 ,"$172,763 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$33,501 ","$58,504 ",$0 ,$0 ,$0 
2020 Apr 07 12:00:00 AM,"$981,728 ",$0 ,"$39,980 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$174,797 ",$0 ,"$122,000 ",$0 ,"$44,082 ","$31,620 ","$23,978 ",$0 ,$0 ,"$39,992 ",$0 ,"$359,220 ",$0 ,"$18,880 ",$0 ,$0 ,$0 ,$0 ,$0 ,$780 ,$0 ,$0 ,$0 ,$0 ,"$31,840 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$57,220 ","$37,339 ",$0 ,$0 ,$0 
2020 Apr 08 12:00:00 AM,"$49,012,095 ",$0 ,"$99,120 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$46,370,358 ",$0 ,"$5,305 ","$22,545 ","$385,105 ",$0 ,"$20,299 ",$0 ,"$2,099 ",$0 ,$0 ,"$10,462 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,277 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$47,122 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,044,403 ",$0 ,$0 ,$0 
2020 Apr 09 12:00:00 AM,"$2,502,106 ","$30,260 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,497,100 ",$540 ,"$8,500 ",$0 ,"$273,978 ","$6,057 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,339 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,210 ",$0 ,$0 ,$0 ,$0 ,"$662,119 ",$0 ,"$7,278 ",$0 ,$0 ,$0 ,"$2,940 ",$0 ,$0 ,$0 ,$785 ,$0 ,$0 ,$0 
2020 Apr 10 12:00:00 AM,"$2,610,212 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,832,076 ",$0 ,$0 ,"$64,622 ","$36,524 ","$268,541 ",$0 ,$0 ,"$2,454 ",$0 ,$0 ,$0 ,$0 ,"$18,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$367,150 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$20,645 ",$0 ,$0 ,$0 
2020 Apr 11 12:00:00 AM,"$560,052 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$557,960 ",$0 ,$0 ,$0 ,"$2,092 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Apr 12 12:00:00 AM,"$1,840 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,840 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Apr 13 12:00:00 AM,"$5,370,562 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,378,000 ",$0 ,"$2,153,855 ",$0 ,"$42,654 ",$0 ,"$38,800 ",$0 ,"$25,444 ",$0 ,$0 ,"$1,830 ",$0 ,$0 ,"$1,599,000 ",$0 ,$0 ,$0 ,$0 ,$281 ,$0 ,"$1,720 ",$0 ,$0 ,"$127,360 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,618 ",$0 ,$0 ,$0 
2020 Apr 14 12:00:00 AM,"$467,018 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$257,548 ",$0 ,$0 ,$0 ,"$111,044 ","$1,022 ","$33,245 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$39,336 ",$0 ,$0 ,$0 ,$0 ,$0 ,$760 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$24,063 ",$0 ,$0 ,$0 
