Date,Citywide,Administration for Child Services,Department of Social Services,Board of Correction,Board of Elections,Business Integrity Commission,Civilian Complaint Review Board,Department for the Aging,Department of Buildings,Department of Citywide Administrative Services,Department of Consumer Affairs,Department of Correction,Department of Design and Construction,Department of Education,Department of Emergency Management,Department of Environmental Protection,Department of Finance,Department of Health and Mental Hygiene,Department of Homeless Services,Department of Information Technology and Telecommunications,Department of Parks and Recreation,Department of Probation,Department of Sanitation,Department of Small Business Services,Department of Transportation,Department of Veterans’ Services,Department of Youth and Community Development,District Attorney—Kings County,District Attorney—New York,District Attorney—Queens County,District Attorney—Richmond County,Equal Employment Practices Commission,Financial Information Services Agency,Fire Department,Housing Preservation and Development,Mayoralty,Miscellaneous,NYC Taxi and Limousine Commission,Office of Administrative Tax Appeals,Office of Administrative Trials and Hearings,Office of Special Narcotics,Office of the Actuary,Office of the Comptroller,Police Department,District Attorney Bronx County,Independent Budget Office,Law Department
2020 Jun 26 12:00:00 AM,"$2,297,520 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,500,000 ",$0 ,$0 ,$0 ,$367 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,923 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,580 ",$0 ,$0 ,$0 ,$0 ,"$790,650 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jun 29 12:00:00 AM,"$11,312 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$293 ,$0 ,$0 ,$0 ,"$6,051 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,968 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jun 30 12:00:00 AM,"$41,452 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$20,000 ",$0 ,$0 ,"$1,720 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$12,932 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$6,800 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 02 12:00:00 AM,"$79,730 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$79,245 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$485 ,$0 ,$0 ,$0 
2020 Jul 06 12:00:00 AM,"$221,938 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$59 ,$0 ,$0 ,$0 ,"$203,480 ",$0 ,$0 ,$0 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$8,399 ",$0 ,$0 ,$0 
2020 Jul 07 12:00:00 AM,"$5,494,155 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$15,007 ",$11 ,$0 ,$0 ,"$254,990 ",$0 ,$0 ,$0 ,"$15,000 ",$0 ,$496 ,"$5,205,155 ",$0 ,"$3,496 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 08 12:00:00 AM,"$139,735 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$30,000 ",$0 ,$0 ,$0 ,"$6,410 ","$6,768 ",$0 ,$0 ,"$96,557 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 09 12:00:00 AM,"$23,620 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$23,620 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 10 12:00:00 AM,"$6,967 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$6,179 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$788 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 13 12:00:00 AM,"$8,494,357 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$391 ,$0 ,$0 ,"$8,442,733 ",$558 ,"$25,795 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$380 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$24,500 ",$0 ,$0 ,$0 
2020 Jul 14 12:00:00 AM,"$25,221,435 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$30,503 ",$0 ,$0 ,$0 ,"$25,185,431 ","$5,501 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 15 12:00:00 AM,"$26,216,451 ",$0 ,$0 ,$0 ,"$830,760 ",$0 ,$0 ,"$8,126,509 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$17,148,200 ","$1,300 ","$2,889 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$92,732 ",$0 ,$0 ,"$14,061 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 16 12:00:00 AM,"$894,651 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$524 ,$558 ,$0 ,$0 ,"$22,688 ",$0 ,$0 ,$0 ,$0 ,"$99,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,976 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$768,905 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 17 12:00:00 AM,"$11,199,643 ",$0 ,$0 ,$0 ,"$26,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$96,309 ",$0 ,$0 ,$0 ,"$42,802 ",$0 ,$0 ,"$9,485 ",$0 ,"$11,024,647 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 18 12:00:00 AM,"$627,056 ",$0 ,"$134,035 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$36,277 ",$0 ,$0 ,"$71,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$260,015 ",$0 ,"$112,717 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$13,012 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 20 12:00:00 AM,"$124,816 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$64 ,$733 ,$73 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,410 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$120,536 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 21 12:00:00 AM,"$5,683,523 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$2 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$21,267 ","$3,660,108 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,146 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 22 12:00:00 AM,"$368,167 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$368,140 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$27 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 23 12:00:00 AM,"$674,273 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$663,400 ",$0 ,"$10,873 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 24 12:00:00 AM,"$1,528 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,528 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 27 12:00:00 AM,"$500,879 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$481,856 ",$0 ,$0 ,"$19,023 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 28 12:00:00 AM,"$1,481 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,010 ",$0 ,$0 ,$0 ,$471 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 29 12:00:00 AM,"$6,591 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$6,591 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jul 30 12:00:00 AM,"$168,579 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,192 ",$0 ,$0 ,$0 ,"$77,954 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,105 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$57,994 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$30,334 ",$0 ,$0 ,$0 
2020 Jul 31 12:00:00 AM,"$93,527 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$6,087 ",$0 ,"$26,909 ",$0 ,$0 ,"$9,720 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$50,811 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 03 12:00:00 AM,"$552,359 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$506,990 ",$0 ,$0 ,$0 ,$64 ,"$2,826 ",$0 ,$0 ,"$40,520 ",$0 ,$0 ,"$1,959 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 04 12:00:00 AM,"$1,438,858 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$707,752 ",$0 ,"$14,275 ",$0 ,"$706,900 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,931 ",$0 ,$0 ,$0 
2020 Aug 05 12:00:00 AM,"$24,031 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$188 ,"$19,848 ",$0 ,"$3,995 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 06 12:00:00 AM,"$3,623,186 ",$0 ,"$1,780 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,479,538 ",$0 ,$0 ,$0 ,"$22,221 ",$0 ,$0 ,$0 ,"$111,821 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$7,826 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 07 12:00:00 AM,"$166,435 ",$0 ,$0 ,$0 ,"$151,566 ",$0 ,$0 ,$0 ,$0 ,"$3,492 ","$5,643 ",$0 ,$0 ,$400 ,"$4,306 ",$0 ,$0 ,"$1,028 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 08 12:00:00 AM,"$404,667,144 ","$610,000 ","$103,109 ",$0 ,"$361,756 ",$0 ,"$576,703 ","$15,025 ",$0 ,"$280,127,787 ",$0 ,"$1,746,017 ","$29,789,677 ","$5,697,566 ","$26,650,211 ","$2,081,648 ",$0 ,"$5,064,937 ","$1,135,480 ","$3,938,044 ","$357,464 ","$51,750 ",$0 ,"$36,809,940 ","$35,459 ",$0 ,$0 ,$0 ,"$3,720 ","$40,642 ","$43,169 ",$0 ,$0 ,"$8,787,273 ","$65,000 ","$78,709 ","$453,513 ","$27,288 ",$0 ,$0 ,$0 ,$0 ,"$14,425 ",$832 ,$0 ,$0 ,$0 
2020 Aug 10 12:00:00 AM,"$156,499 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$66,344 ",$0 ,$0 ,$0 ,$0 ,$558 ,$0 ,$0 ,"$89,597 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 11 12:00:00 AM,"$162,850 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$42,339 ","$26,830 ",$0 ,$0 ,"$31,912 ",$0 ,"$6,429 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$34,313 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,032 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$19,995 ",$0 ,$0 ,$0 
2020 Aug 12 12:00:00 AM,"$161,731 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$6,493 ",$0 ,$0 ,$0 ,"$34,596 ","$64,880 ","$17,959 ",$0 ,"$3,739 ",$0 ,"$34,064 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 13 12:00:00 AM,"$791,330 ",$0 ,"$43,575 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$558 ,$0 ,$0 ,"$247,197 ",$0 ,$0 ,$0 ,$0 ,"$500,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 14 12:00:00 AM,"$4,717,487 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$21,072 ","$4,656,968 ",$0 ,$0 ,"$20,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$19,447 ",$0 ,$0 ,$0 
2020 Aug 15 12:00:00 AM,"$743,208 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$567,708 ",$0 ,$0 ,"$175,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 17 12:00:00 AM,"$226,494 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$36,231 ",$0 ,$0 ,$0 ,"$9,664 ","$34,691 ",$0 ,"$138,082 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$7,826 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 18 12:00:00 AM,"$245,664 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$43,433 ","$10,925 ","$13,448 ",$0 ,"$45,560 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$129,510 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,788 ",$0 ,$0 ,$0 
2020 Aug 19 12:00:00 AM,"$355,131 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$12,400 ","$1,908 ",$0 ,$0 ,"$340,823 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 20 12:00:00 AM,"$51,469 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$541 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$50,928 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 21 12:00:00 AM,"$562,002 ",$0 ,$0 ,$0 ,$0 ,"$1,300 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$225 ,"$14,774 ",$0 ,"$44,713 ",$0 ,$0 ,$0 ,$0 ,"$500,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$990 ,$0 ,$0 ,$0 
2020 Aug 24 12:00:00 AM,"$1,897,892 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$253,650 ",$0 ,$0 ,$0 ,$0 ,"$137,842 ","$33,878 ",$0 ,"$1,393,859 ",$0 ,$0 ,$0 ,$0 ,"$5,035 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$73,628 ",$0 ,$0 ,$0 
2020 Aug 25 12:00:00 AM,"$2,228,020 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$6,732 ",$0 ,"$4,015 ",$0 ,$0 ,"$2,217,273 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 26 12:00:00 AM,"$395,199 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$386,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$8,799 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 27 12:00:00 AM,"$145,720 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$82,003 ",$0 ,"$60,899 ",$0 ,$0 ,$0 ,$0 ,"$2,818 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 28 12:00:00 AM,"$150,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$150,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Aug 31 12:00:00 AM,"$7,946,321 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$7,555,600 ",$0 ,$0 ,"$328,689 ","$24,024 ",$0 ,"$17,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$646 ,$0 ,$0 ,"$19,862 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Sep 01 12:00:00 AM,"$2,169,752 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,777,353 ",$0 ,$0 ,$0 ,$0 ,$837 ,$397 ,$0 ,"$82,815 ",$0 ,$0 ,$0 ,"$100,748 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$191,431 ",$0 ,$0 ,$0 ,"$16,171 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Sep 02 12:00:00 AM,"$61,229 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$6,822 ",$0 ,$0 ,$0 ,$950 ,"$1,665 ","$12,100 ",$0 ,"$36,354 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,338 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
